"","ADH1C","TNC","MYH11","KPNA2","C1QC","GNAO1","CBR1","PCNA","SHMT2","MRTO4","IDH1"
"PDAC_66T",-0.591664056794099,-0.522377042396241,-0.375424859040527,-0.571238183702027,-0.985189614920476,-0.379433803567769,1.36326081551062,-0.119585090275061,0.732913216861658,0.183901194494967,1.1898903289555
"PDAC_67T",-0.321491489529984,-0.527544457607892,-0.350835547288436,0.130494937320833,4.24890897419079,-0.385185315832742,0.276047754973552,0.32037808882793,0.169039391566663,-0.526216846690027,0.133545099928723
"PDAC_68T",1.91002958438586,-0.624295856066043,-0.342854688264393,-0.460042785509968,0.338647200705035,0.0537390808379968,0.151720690986238,-0.602962013153135,0.785987438456176,-0.334043564450174,0.409400060729087
"PDAC_69T",-0.639325328274026,-0.451037736315388,-0.35537034371303,-0.405196406671993,-0.235614591204263,-1.14199385667653,0.91827270423271,-0.259722101431392,-0.418100814680492,-0.336393281438259,-0.985979216543019
"PDAC_70T",-0.648508841559183,1.00285075368278,-0.264986302063854,-0.190318812868419,-0.251481548260205,1.57330154599049,-0.100448324068005,-0.691225984872327,0.809006304717357,-0.246768362035568,0.129643574132031
"PDAC_71T",-0.748190647154398,4.3590531281302,3.21892558349256,-0.193699754029664,-0.897754914500318,0.43986588739095,1.26495754390759,-0.809895538169288,-1.06082574867354,-0.282349790712292,-0.110385697235942
"PDAC_72T",0.0525768372101923,-0.381775055039217,-0.298291224665745,-0.000234787580642095,-1.03506511979213,0.863603706732828,-0.190790575177308,-0.993605902452816,-0.459966156697754,-0.871793080866321,-0.997114228123357
"PDAC_73T",0.0202311084558268,-0.396736412352952,-0.315221131317563,-0.309778733899077,0.272738302164967,-0.766594589853752,-1.21881838849173,0.563143913393738,-0.875048293471939,-0.874142797854407,-1.20165954954478
"PDAC_74T",-0.596749863202018,-0.610223100994312,-0.387494688511557,-0.286487805899389,-0.567267280995952,-0.795287527445302,-1.13141751299994,-0.145362000641516,1.70377191261162,-0.611813679827429,-1.18603920721277
"PDAC_75T",-0.205055584539539,0.443166563300826,-0.323745400546072,-0.180551649513711,-0.322161629691221,-0.249249292806108,-0.956973496888764,0.805111691198975,-0.0693879743306308,0.544750589093817,-0.918571102960769
